|Run,|Epoch,|Trial,$TrialName,#Err,#SSE,#AvgSSE,#CosDiff,#DA,#AbsDA,#RewPred,"#Input[2:0,0]<2:1,10>","#Input[2:0,1]","#Input[2:0,2]","#Input[2:0,3]","#Input[2:0,4]","#Input[2:0,5]","#Input[2:0,6]","#Input[2:0,7]","#Input[2:0,8]","#Input[2:0,9]","#Output[2:0,0]<2:1,10>","#Output[2:0,1]","#Output[2:0,2]","#Output[2:0,3]","#Output[2:0,4]","#Output[2:0,5]","#Output[2:0,6]","#Output[2:0,7]","#Output[2:0,8]","#Output[2:0,9]","#GPiThal[4:0,0,0,0]<4:2,4,1,1>","#GPiThal[4:0,1,0,0]","#GPiThal[4:0,2,0,0]","#GPiThal[4:0,3,0,0]","#GPiThal[4:1,0,0,0]","#GPiThal[4:1,1,0,0]","#GPiThal[4:1,2,0,0]","#GPiThal[4:1,3,0,0]","#PFCmntD[4:0,0,0,0]<4:2,2,1,10>","#PFCmntD[4:0,0,0,1]","#PFCmntD[4:0,0,0,2]","#PFCmntD[4:0,0,0,3]","#PFCmntD[4:0,0,0,4]","#PFCmntD[4:0,0,0,5]","#PFCmntD[4:0,0,0,6]","#PFCmntD[4:0,0,0,7]","#PFCmntD[4:0,0,0,8]","#PFCmntD[4:0,0,0,9]","#PFCmntD[4:0,1,0,0]","#PFCmntD[4:0,1,0,1]","#PFCmntD[4:0,1,0,2]","#PFCmntD[4:0,1,0,3]","#PFCmntD[4:0,1,0,4]","#PFCmntD[4:0,1,0,5]","#PFCmntD[4:0,1,0,6]","#PFCmntD[4:0,1,0,7]","#PFCmntD[4:0,1,0,8]","#PFCmntD[4:0,1,0,9]","#PFCmntD[4:1,0,0,0]","#PFCmntD[4:1,0,0,1]","#PFCmntD[4:1,0,0,2]","#PFCmntD[4:1,0,0,3]","#PFCmntD[4:1,0,0,4]","#PFCmntD[4:1,0,0,5]","#PFCmntD[4:1,0,0,6]","#PFCmntD[4:1,0,0,7]","#PFCmntD[4:1,0,0,8]","#PFCmntD[4:1,0,0,9]","#PFCmntD[4:1,1,0,0]","#PFCmntD[4:1,1,0,1]","#PFCmntD[4:1,1,0,2]","#PFCmntD[4:1,1,0,3]","#PFCmntD[4:1,1,0,4]","#PFCmntD[4:1,1,0,5]","#PFCmntD[4:1,1,0,6]","#PFCmntD[4:1,1,0,7]","#PFCmntD[4:1,1,0,8]","#PFCmntD[4:1,1,0,9]","#PFCoutD[4:0,0,0,0]<4:2,2,1,10>","#PFCoutD[4:0,0,0,1]","#PFCoutD[4:0,0,0,2]","#PFCoutD[4:0,0,0,3]","#PFCoutD[4:0,0,0,4]","#PFCoutD[4:0,0,0,5]","#PFCoutD[4:0,0,0,6]","#PFCoutD[4:0,0,0,7]","#PFCoutD[4:0,0,0,8]","#PFCoutD[4:0,0,0,9]","#PFCoutD[4:0,1,0,0]","#PFCoutD[4:0,1,0,1]","#PFCoutD[4:0,1,0,2]","#PFCoutD[4:0,1,0,3]","#PFCoutD[4:0,1,0,4]","#PFCoutD[4:0,1,0,5]","#PFCoutD[4:0,1,0,6]","#PFCoutD[4:0,1,0,7]","#PFCoutD[4:0,1,0,8]","#PFCoutD[4:0,1,0,9]","#PFCoutD[4:1,0,0,0]","#PFCoutD[4:1,0,0,1]","#PFCoutD[4:1,0,0,2]","#PFCoutD[4:1,0,0,3]","#PFCoutD[4:1,0,0,4]","#PFCoutD[4:1,0,0,5]","#PFCoutD[4:1,0,0,6]","#PFCoutD[4:1,0,0,7]","#PFCoutD[4:1,0,0,8]","#PFCoutD[4:1,0,0,9]","#PFCoutD[4:1,1,0,0]","#PFCoutD[4:1,1,0,1]","#PFCoutD[4:1,1,0,2]","#PFCoutD[4:1,1,0,3]","#PFCoutD[4:1,1,0,4]","#PFCoutD[4:1,1,0,5]","#PFCoutD[4:1,1,0,6]","#PFCoutD[4:1,1,0,7]","#PFCoutD[4:1,1,0,8]","#PFCoutD[4:1,1,0,9]",#OutDecode,#OutTarget
0,-1,0,Store_A_mnt_A_rew_0,0,0,0,0.9831,0,0,0.09047,0.95,0.3128,0.008294,1.862e-05,3.537e-09,5.691e-14,7.75e-20,8.935e-27,8.721e-35,0,0.8735,0.3172,0.0009312,0.003949,2.547e-05,0.0003756,0.0005096,5.603e-06,0.03565,0.1638,0.9923,1.401e-45,1.944e-11,1.944e-11,0.9923,0.9923,1.944e-11,0.9923,0.9839,0.9789,1.401e-45,5.205e-36,5.095e-36,1.401e-45,1.401e-45,1.401e-45,0.0001178,0.0001184,1.401e-45,1.401e-45,1.401e-45,1.401e-45,1.401e-45,1.401e-45,1.401e-45,1.401e-45,1.401e-45,1.401e-45,0.9832,0.9778,1.401e-45,1.401e-45,1.401e-45,1.401e-45,1.401e-45,1.401e-45,0.0001177,0.0001183,0.983,0.9777,1.401e-45,5.2e-36,5.084e-36,1.401e-45,1.401e-45,1.401e-45,0.0001177,0.0001183,1.401e-45,1.401e-45,1.401e-45,6.232e-40,6.231e-40,1.401e-45,1.401e-45,1.401e-45,1.721e-08,1.721e-08,1.401e-45,1.401e-45,1.401e-45,1.401e-45,1.401e-45,1.401e-45,1.401e-45,1.401e-45,1.401e-45,1.401e-45,1.401e-45,1.401e-45,1.401e-45,1.401e-45,1.401e-45,1.401e-45,1.401e-45,1.401e-45,1.687e-08,1.688e-08,1.401e-45,1.401e-45,1.401e-45,3.589e-24,3.581e-24,1.401e-45,1.401e-45,1.401e-45,0.9812,0.9812,0.4338,0.07003
0,-1,1,Ignore_C_mnt_A_rew_0,0,0,0,0.9681,0,0,0.12,5.779e-20,4.457e-14,2.91e-09,1.608e-05,0.007526,0.2981,0.95,0.2839,0.006823,1.388e-05,0.007392,0.008368,0.01655,0.008832,0.0009861,0.06193,0.8487,0.2723,0.02167,0.01882,0.9923,1.401e-45,0.9923,0.9923,1.944e-11,1.944e-11,0.9923,1.944e-11,0.0001192,0.0001178,1.401e-45,1.401e-45,1.401e-45,0.9632,0.9843,1.401e-45,2.469e-20,2.482e-20,1.401e-45,1.401e-45,1.401e-45,1.401e-45,1.401e-45,1.401e-45,1.401e-45,1.401e-45,1.401e-45,1.401e-45,0.9834,0.9781,1.401e-45,1.401e-45,1.401e-45,1.401e-45,1.401e-45,1.401e-45,2.467e-20,2.48e-20,0.9832,0.9779,1.401e-45,1.401e-45,1.401e-45,1.401e-45,1.401e-45,1.401e-45,2.467e-20,2.48e-20,0.9813,0.9812,1.401e-45,1.401e-45,1.401e-45,1.401e-45,1.401e-45,1.401e-45,3.606e-24,3.608e-24,1.401e-45,1.401e-45,1.401e-45,1.401e-45,1.401e-45,1.401e-45,1.401e-45,1.401e-45,1.401e-45,1.401e-45,0.9811,0.9811,1.401e-45,1.401e-45,1.401e-45,1.401e-45,1.401e-45,1.401e-45,3.537e-24,3.539e-24,1.401e-45,1.401e-45,1.401e-45,7.522e-40,7.506e-40,1.401e-45,1.401e-45,1.401e-45,1.706e-08,1.707e-08,2.085,2
0,-1,2,Recall_A_mnt_@_rew_1,0,0,0,0.9994,0.01,0.01,0.99,1.213e-20,1.213e-20,1.213e-20,1.213e-20,1.213e-20,1.213e-20,1.213e-20,1.213e-20,1.213e-20,1.213e-20,0.8271,0.27,0.009739,0.02983,0.01023,0.007189,0.02419,0.008026,0.008683,0.0121,2.105e-11,0.9926,2.105e-11,2.105e-11,0.9926,4.075e-27,2.105e-11,0.9926,2.498e-20,2.469e-20,1.401e-45,1.401e-45,1.401e-45,0.9635,0.9844,1.401e-45,5.176e-36,5.202e-36,1.401e-45,1.401e-45,1.401e-45,1.401e-45,1.401e-45,1.401e-45,1.401e-45,1.401e-45,1.401e-45,1.401e-45,0.000157,0.0001177,1.401e-45,1.401e-45,1.401e-45,1.401e-45,1.401e-45,1.401e-45,5.17e-36,5.198e-36,0.9832,0.9779,1.401e-45,1.401e-45,1.401e-45,1.401e-45,1.401e-45,1.401e-45,5.17e-36,5.198e-36,1.719e-08,1.718e-08,1.401e-45,1.401e-45,1.401e-45,1.401e-45,1.401e-45,1.401e-45,7.559e-40,7.563e-40,1.401e-45,1.401e-45,1.401e-45,1.401e-45,1.401e-45,1.401e-45,1.401e-45,1.401e-45,1.401e-45,1.401e-45,1.687e-08,1.686e-08,1.401e-45,1.401e-45,1.401e-45,1.401e-45,1.401e-45,1.401e-45,7.413e-40,7.417e-40,0.9812,0.9812,1.401e-45,1.401e-45,1.401e-45,1.401e-45,1.401e-45,1.401e-45,3.576e-24,3.578e-24,0.07257,0.07003
0,-1,3,Store_D_mnt_D_rew_1,0,0,0,0.9894,0,0,0.08792,0,8.721e-35,8.935e-27,7.75e-20,5.691e-14,3.537e-09,1.862e-05,0.008294,0.3128,0.95,0.1233,0.01238,0.008653,0.00045,0.003733,0.01186,5.692e-06,0.005823,0.3406,0.8539,0.9923,2.947e-11,4.412e-27,4.412e-27,0.9923,0.9923,4.412e-27,0.9923,5.237e-36,5.175e-36,1.401e-45,1.401e-45,1.401e-45,0.0001159,0.0001185,1.401e-45,0.979,0.984,1.401e-45,1.401e-45,1.401e-45,1.401e-45,1.401e-45,1.401e-45,1.401e-45,1.401e-45,1.401e-45,1.401e-45,3.29e-20,2.467e-20,1.401e-45,1.401e-45,1.401e-45,1.401e-45,1.401e-45,1.401e-45,0.9779,0.9833,0.0001183,0.0001177,1.401e-45,1.401e-45,1.401e-45,1.401e-45,1.401e-45,1.401e-45,0.9778,0.9831,3.603e-24,3.601e-24,1.401e-45,1.401e-45,1.401e-45,1.401e-45,1.401e-45,1.401e-45,1.401e-45,1.401e-45,1.401e-45,1.401e-45,1.401e-45,1.401e-45,1.401e-45,1.401e-45,1.401e-45,1.401e-45,1.401e-45,1.401e-45,3.536e-24,3.534e-24,1.401e-45,1.401e-45,1.401e-45,1.401e-45,1.401e-45,1.401e-45,1.401e-45,1.401e-45,0.9792,0.9792,1.401e-45,1.401e-45,1.401e-45,1.401e-45,1.401e-45,1.401e-45,7.496e-40,7.5e-40,2.641,2.93
0,-1,4,Recall_D_mnt_@_rew_1,0,0,0,0.999,0.01858,0.01858,0.9819,1.155e-19,1.155e-19,1.155e-19,1.155e-19,1.155e-19,1.155e-19,1.155e-19,1.155e-19,1.155e-19,1.155e-19,0.01347,0.001547,0.008984,0.02736,0.000365,0.01251,0.01909,0.01534,0.2607,0.8599,2.887e-11,0.9926,9.235e-43,9.235e-43,0.9926,2.887e-11,9.235e-43,0.9926,1.401e-45,1.401e-45,1.401e-45,1.401e-45,1.401e-45,2.43e-20,2.483e-20,1.401e-45,0.9792,0.9841,1.401e-45,1.401e-45,1.401e-45,1.401e-45,1.401e-45,1.401e-45,1.401e-45,1.401e-45,1.401e-45,1.401e-45,6.896e-36,5.17e-36,1.401e-45,1.401e-45,1.401e-45,1.401e-45,1.401e-45,1.401e-45,0.0001177,0.000157,2.48e-20,2.466e-20,1.401e-45,1.401e-45,1.401e-45,1.401e-45,1.401e-45,1.401e-45,0.978,0.9833,7.551e-40,7.547e-40,1.401e-45,1.401e-45,1.401e-45,1.401e-45,1.401e-45,1.401e-45,1.401e-45,1.401e-45,1.401e-45,1.401e-45,1.401e-45,1.401e-45,1.401e-45,1.401e-45,1.401e-45,1.401e-45,1.401e-45,1.401e-45,7.412e-40,7.408e-40,1.401e-45,1.401e-45,1.401e-45,1.401e-45,1.401e-45,1.401e-45,1.401e-45,1.401e-45,1.418e-08,1.418e-08,1.401e-45,1.401e-45,1.401e-45,1.401e-45,1.401e-45,1.401e-45,0.9791,0.9791,2.932,2.93
0,-1,5,Store_A_mnt_A_rew_1,0,0,0,0.9813,0,0,0.09047,0.95,0.3128,0.008294,1.862e-05,3.537e-09,5.691e-14,7.75e-20,8.935e-27,8.721e-35,0,0.8731,0.3148,0.0008779,0.003749,2.513e-05,0.0003584,0.0004939,5.736e-06,0.03169,0.1726,0.9923,2.947e-11,1.401e-45,1.401e-45,0.9923,0.9923,1.401e-45,0.9923,0.9839,0.9789,1.401e-45,1.401e-45,1.401e-45,5.093e-36,5.204e-36,1.401e-45,0.0001178,0.0001184,1.401e-45,1.401e-45,1.401e-45,1.401e-45,1.401e-45,1.401e-45,1.401e-45,1.401e-45,1.401e-45,1.401e-45,0.9832,0.9779,1.401e-45,1.401e-45,1.401e-45,1.401e-45,1.401e-45,1.401e-45,2.467e-20,3.291e-20,0.983,0.9777,1.401e-45,1.401e-45,1.401e-45,1.401e-45,1.401e-45,1.401e-45,0.0001177,0.0001183,1.401e-45,1.401e-45,1.401e-45,1.401e-45,1.401e-45,1.401e-45,1.401e-45,1.401e-45,1.401e-45,1.401e-45,1.401e-45,1.401e-45,1.401e-45,1.401e-45,1.401e-45,1.401e-45,1.401e-45,1.401e-45,1.401e-45,1.401e-45,1.401e-45,1.401e-45,1.401e-45,1.401e-45,1.401e-45,1.401e-45,1.401e-45,1.401e-45,1.401e-45,1.401e-45,2.971e-24,2.971e-24,1.401e-45,1.401e-45,1.401e-45,1.401e-45,1.401e-45,1.401e-45,0.9791,0.9791,0.4507,0.07003
0,-1,6,Ignore_C_mnt_A_rew_1,0,0,0,0.9681,0,0,0.12,5.779e-20,4.457e-14,2.91e-09,1.608e-05,0.007526,0.2981,0.95,0.2839,0.006823,1.388e-05,0.007104,0.008402,0.0166,0.009141,0.0009889,0.06208,0.8486,0.2724,0.02168,0.01829,0.9923,6.176e-27,0.9923,0.9923,1.944e-11,1.944e-11,0.9923,1.944e-11,0.0001192,0.0001178,1.401e-45,1.401e-45,1.401e-45,0.9632,0.9843,1.401e-45,2.469e-20,2.482e-20,1.401e-45,1.401e-45,1.401e-45,1.401e-45,1.401e-45,1.401e-45,1.401e-45,1.401e-45,1.401e-45,1.401e-45,0.9834,0.9781,1.401e-45,1.401e-45,1.401e-45,1.401e-45,1.401e-45,1.401e-45,5.17e-36,6.899e-36,0.9832,0.9779,1.401e-45,1.401e-45,1.401e-45,1.401e-45,1.401e-45,1.401e-45,2.467e-20,2.48e-20,0.9813,0.9812,1.401e-45,1.401e-45,1.401e-45,1.401e-45,1.401e-45,1.401e-45,1.401e-45,1.401e-45,1.401e-45,1.401e-45,1.401e-45,1.401e-45,1.401e-45,1.401e-45,1.401e-45,1.401e-45,1.401e-45,1.401e-45,0.9811,0.9811,1.401e-45,1.401e-45,1.401e-45,1.401e-45,1.401e-45,1.401e-45,1.401e-45,1.401e-45,6.228e-40,6.228e-40,1.401e-45,1.401e-45,1.401e-45,1.401e-45,1.401e-45,1.401e-45,1.418e-08,1.418e-08,2.085,2
0,-1,7,Ignore_B_mnt_A_rew_1,0,0,0,0.9165,0,0,0.1175,1.388e-05,0.006823,0.2839,0.95,0.2981,0.007526,1.608e-05,2.91e-09,4.457e-14,5.779e-20,0.0003519,0.009088,0.494,0.8135,0.02814,0.001245,0.01623,0.001851,0.003107,0.01364,0.9923,1.295e-42,0.9923,0.9923,4.074e-27,4.074e-27,0.9923,4.074e-27,2.498e-20,2.469e-20,1.401e-45,0.9844,0.9636,0.0001159,0.0001244,1.401e-45,5.176e-36,5.202e-36,1.401e-45,1.401e-45,1.401e-45,1.401e-45,1.401e-45,1.401e-45,1.401e-45,1.401e-45,1.401e-45,1.401e-45,0.9834,0.9781,1.401e-45,1.401e-45,1.401e-45,1.401e-45,1.401e-45,1.401e-45,1.401e-45,1.401e-45,0.9832,0.9779,1.401e-45,1.401e-45,1.401e-45,1.401e-45,1.401e-45,1.401e-45,5.17e-36,5.198e-36,1.421e-08,1.421e-08,1.401e-45,1.401e-45,1.401e-45,0.9792,0.9792,1.401e-45,1.401e-45,1.401e-45,1.401e-45,1.401e-45,1.401e-45,1.401e-45,1.401e-45,1.401e-45,1.401e-45,1.401e-45,1.401e-45,1.401e-45,0.9791,0.979,1.401e-45,1.401e-45,1.401e-45,1.401e-45,1.401e-45,1.401e-45,1.401e-45,1.401e-45,1.401e-45,1.401e-45,1.401e-45,1.401e-45,1.401e-45,1.401e-45,1.401e-45,1.401e-45,2.973e-24,2.973e-24,0.8699,0.9997
0,-1,8,Recall_A_mnt_@_rew_1,0,0,0,0.9995,0.01,0.01,0.99,1.213e-20,1.213e-20,1.213e-20,1.213e-20,1.213e-20,1.213e-20,1.213e-20,1.213e-20,1.213e-20,1.213e-20,0.8265,0.2691,0.009771,0.02928,0.01371,0.00706,0.02268,0.008037,0.0119,0.01209,2.105e-11,0.9926,2.105e-11,2.105e-11,0.9926,8.548e-43,2.105e-11,0.9926,5.237e-36,5.175e-36,1.401e-45,0.9846,0.9639,2.43e-20,2.607e-20,1.401e-45,1.401e-45,1.401e-45,1.401e-45,1.401e-45,1.401e-45,1.401e-45,1.401e-45,1.401e-45,1.401e-45,1.401e-45,1.401e-45,1.401e-45,0.000157,0.0001177,1.401e-45,1.401e-45,1.401e-45,1.401e-45,1.401e-45,1.401e-45,1.401e-45,1.401e-45,0.9832,0.9779,1.401e-45,1.401e-45,1.401e-45,1.401e-45,1.401e-45,1.401e-45,1.401e-45,1.401e-45,2.978e-24,2.978e-24,1.401e-45,1.401e-45,1.401e-45,1.418e-08,1.418e-08,1.401e-45,1.401e-45,1.401e-45,1.401e-45,1.401e-45,1.401e-45,1.401e-45,1.401e-45,1.401e-45,1.401e-45,1.401e-45,1.401e-45,1.401e-45,1.418e-08,1.418e-08,1.401e-45,1.401e-45,1.401e-45,1.401e-45,1.401e-45,1.401e-45,1.401e-45,1.401e-45,0.9812,0.9812,1.401e-45,1.401e-45,1.401e-45,1.401e-45,1.401e-45,1.401e-45,6.23e-40,6.231e-40,0.07243,0.07003
0,-1,9,Ignore_A_mnt_@_rew_1,0,0,0,0.9941,0,0,0.09051,0.95,0.3128,0.008294,1.862e-05,3.537e-09,5.691e-14,7.75e-20,8.935e-27,8.721e-35,0,0.8827,0.2678,0.004736,0.009397,3.749e-05,8.9e-05,0.05225,0.00832,0.004881,0.08409,0.9923,2.074e-11,0.9923,0.9923,2.074e-11,1.401e-45,0.9923,2.074e-11,0.9839,0.9789,1.401e-45,0.0001185,0.000116,5.093e-36,5.465e-36,1.401e-45,1.401e-45,1.401e-45,1.401e-45,1.401e-45,1.401e-45,1.401e-45,1.401e-45,1.401e-45,1.401e-45,1.401e-45,1.401e-45,1.401e-45,3.29e-20,2.467e-20,1.401e-45,1.401e-45,1.401e-45,1.401e-45,1.401e-45,1.401e-45,1.401e-45,1.401e-45,0.9832,0.9779,1.401e-45,1.401e-45,1.401e-45,1.401e-45,1.401e-45,1.401e-45,1.401e-45,1.401e-45,6.241e-40,6.241e-40,1.401e-45,0.9813,0.9812,2.973e-24,2.973e-24,1.401e-45,1.401e-45,1.401e-45,1.401e-45,1.401e-45,1.401e-45,1.401e-45,1.401e-45,1.401e-45,1.401e-45,1.401e-45,1.401e-45,1.401e-45,2.972e-24,2.972e-24,1.401e-45,1.401e-45,1.401e-45,1.401e-45,1.401e-45,1.401e-45,1.401e-45,1.401e-45,1.71e-08,1.709e-08,1.401e-45,1.401e-45,1.401e-45,1.401e-45,1.401e-45,1.401e-45,1.401e-45,1.401e-45,0.06812,0.07003
0,-1,10,Ignore_A_mnt_@_rew_1,0,0,0,0.9979,0,0,0.09056,0.95,0.3128,0.008294,1.862e-05,3.537e-09,5.691e-14,7.75e-20,8.935e-27,8.721e-35,0,0.8859,0.3516,0.0003855,0.01446,5.087e-05,0.008719,0.009441,0.009932,8.55e-05,0.00999,0.9923,4.346e-27,0.9923,0.9923,4.346e-27,1.401e-45,0.9923,4.346e-27,0.9841,0.9791,1.401e-45,2.483e-20,2.431e-20,1.401e-45,1.401e-45,1.401e-45,1.401e-45,1.401e-45,1.401e-45,1.401e-45,1.401e-45,1.401e-45,1.401e-45,1.401e-45,1.401e-45,1.401e-45,1.401e-45,1.401e-45,6.896e-36,5.17e-36,1.401e-45,1.401e-45,1.401e-45,1.401e-45,1.401e-45,1.401e-45,1.401e-45,1.401e-45,0.9832,0.9779,1.401e-45,1.401e-45,1.401e-45,1.401e-45,1.401e-45,1.401e-45,1.401e-45,1.401e-45,0.9792,0.9792,1.401e-45,1.421e-08,1.421e-08,6.231e-40,6.231e-40,1.401e-45,1.401e-45,1.401e-45,1.401e-45,1.401e-45,1.401e-45,1.401e-45,1.401e-45,1.401e-45,1.401e-45,1.401e-45,1.401e-45,1.401e-45,6.229e-40,6.229e-40,1.401e-45,1.401e-45,1.401e-45,1.401e-45,1.401e-45,1.401e-45,1.401e-45,1.401e-45,3.584e-24,3.582e-24,1.401e-45,1.401e-45,1.401e-45,1.401e-45,1.401e-45,1.401e-45,1.401e-45,1.401e-45,0.08534,0.07003
0,-1,11,Ignore_C_mnt_@_rew_1,0,0,0,0.9938,0,0,0.12,5.779e-20,4.457e-14,2.91e-09,1.608e-05,0.007526,0.2981,0.95,0.2839,0.006823,1.388e-05,0.0009469,4.587e-05,0.0001753,0.0004155,2.508e-07,0.358,0.8554,0.3134,0.000544,0.0008428,0.9923,9.108e-43,0.9923,0.9923,9.108e-43,1.401e-45,0.9923,9.108e-43,0.0001192,0.0001178,1.401e-45,5.205e-36,5.095e-36,0.9632,0.9843,1.401e-45,1.401e-45,1.401e-45,1.401e-45,1.401e-45,1.401e-45,1.401e-45,1.401e-45,1.401e-45,1.401e-45,1.401e-45,1.401e-45,1.401e-45,1.401e-45,1.401e-45,1.401e-45,1.401e-45,1.401e-45,1.401e-45,1.401e-45,1.401e-45,1.401e-45,1.401e-45,0.9832,0.9779,1.401e-45,1.401e-45,1.401e-45,1.401e-45,1.401e-45,1.401e-45,1.401e-45,1.401e-45,0.9792,0.9792,1.401e-45,2.978e-24,2.978e-24,1.401e-45,1.401e-45,1.401e-45,1.401e-45,1.401e-45,1.401e-45,1.401e-45,1.401e-45,1.401e-45,1.401e-45,1.401e-45,1.401e-45,1.401e-45,1.401e-45,1.401e-45,1.401e-45,1.401e-45,1.401e-45,1.401e-45,1.401e-45,1.401e-45,1.401e-45,1.401e-45,1.401e-45,1.401e-45,7.511e-40,7.507e-40,1.401e-45,1.401e-45,1.401e-45,1.401e-45,1.401e-45,1.401e-45,1.401e-45,1.401e-45,1.994,2
0,-1,12,Ignore_C_mnt_@_rew_1,0,0,0,0.9931,0,0,0.1201,5.779e-20,4.457e-14,2.91e-09,1.608e-05,0.007526,0.2981,0.95,0.2839,0.006823,1.388e-05,0.006029,0.009717,9.262e-05,0.001322,2.297e-08,0.3553,0.8711,0.2054,0.000951,0.009056,0.9923,1.401e-45,0.9923,0.9923,1.401e-45,1.401e-45,0.9923,1.401e-45,2.498e-20,2.469e-20,1.401e-45,1.401e-45,1.401e-45,0.9635,0.9844,1.401e-45,1.401e-45,1.401e-45,1.401e-45,1.401e-45,1.401e-45,1.401e-45,1.401e-45,1.401e-45,1.401e-45,1.401e-45,1.401e-45,1.401e-45,1.401e-45,1.401e-45,1.401e-45,1.401e-45,1.401e-45,1.401e-45,1.401e-45,1.401e-45,1.401e-45,1.401e-45,0.9832,0.9779,1.401e-45,1.401e-45,1.401e-45,1.401e-45,1.401e-45,1.401e-45,1.401e-45,1.401e-45,1.418e-08,1.418e-08,1.401e-45,6.241e-40,6.241e-40,0.9792,0.9792,1.401e-45,1.401e-45,1.401e-45,1.401e-45,1.401e-45,1.401e-45,1.401e-45,1.401e-45,1.401e-45,1.401e-45,1.401e-45,1.401e-45,1.401e-45,1.401e-45,1.401e-45,1.401e-45,1.401e-45,1.401e-45,1.401e-45,1.401e-45,1.401e-45,1.401e-45,1.401e-45,1.401e-45,1.401e-45,1.401e-45,1.401e-45,1.401e-45,1.401e-45,1.401e-45,1.401e-45,1.401e-45,1.401e-45,1.968,2
0,-1,13,Store_C_mnt_C_rew_1,0,0,0,0.996,0,0,0.1145,5.779e-20,4.457e-14,2.91e-09,1.608e-05,0.007526,0.2981,0.95,0.2839,0.006823,1.388e-05,0.01235,0.01204,0.001919,0.002864,1.998e-05,0.2271,0.8195,0.3075,0.0006177,0.0007998,0.9923,1.401e-45,1.481e-11,1.481e-11,0.9923,0.9923,1.481e-11,0.9923,5.237e-36,5.175e-36,1.401e-45,1.401e-45,1.401e-45,0.9635,0.9844,1.401e-45,1.401e-45,1.401e-45,1.401e-45,1.401e-45,1.401e-45,1.401e-45,1.401e-45,1.401e-45,1.401e-45,1.401e-45,1.401e-45,1.401e-45,1.401e-45,1.401e-45,1.401e-45,1.401e-45,1.401e-45,0.9617,0.9837,1.401e-45,1.401e-45,1.401e-45,0.0001183,0.0001177,1.401e-45,1.401e-45,1.401e-45,0.9615,0.9836,1.401e-45,1.401e-45,1.401e-45,2.971e-24,2.971e-24,1.401e-45,1.401e-45,1.401e-45,1.418e-08,1.418e-08,1.401e-45,1.401e-45,1.401e-45,1.401e-45,1.401e-45,1.401e-45,1.401e-45,1.401e-45,1.401e-45,1.401e-45,1.401e-45,1.401e-45,1.401e-45,1.401e-45,1.401e-45,1.401e-45,1.401e-45,1.401e-45,1.401e-45,1.401e-45,1.401e-45,1.401e-45,1.401e-45,0.9812,0.9812,1.401e-45,1.401e-45,1.401e-45,1.401e-45,1.401e-45,1.401e-45,1.401e-45,1.401e-45,2.023,2
0,-1,14,Recall_C_mnt_@_rew_1,0,0,0,0.9994,0.01246,0.01246,0.99,1.213e-20,1.213e-20,1.213e-20,1.213e-20,1.213e-20,1.213e-20,1.213e-20,1.213e-20,1.213e-20,1.213e-20,0.002236,1.775e-05,0.000822,0.002568,0.0005165,0.2471,0.864,0.2386,0.007039,0.006325,2.887e-11,0.9926,3.104e-27,3.104e-27,0.9926,2.887e-11,3.104e-27,0.9926,1.401e-45,1.401e-45,1.401e-45,1.401e-45,1.401e-45,0.9635,0.9844,1.401e-45,1.401e-45,1.401e-45,1.401e-45,1.401e-45,1.401e-45,1.401e-45,1.401e-45,1.401e-45,1.401e-45,1.401e-45,1.401e-45,1.401e-45,1.401e-45,1.401e-45,1.401e-45,1.401e-45,1.401e-45,0.0001157,0.0001571,1.401e-45,1.401e-45,1.401e-45,2.48e-20,2.466e-20,1.401e-45,1.401e-45,1.401e-45,0.9618,0.9837,1.401e-45,1.401e-45,1.401e-45,6.228e-40,6.228e-40,1.401e-45,1.401e-45,1.401e-45,2.973e-24,2.973e-24,1.401e-45,1.401e-45,1.401e-45,1.401e-45,1.401e-45,1.401e-45,1.401e-45,1.401e-45,1.401e-45,1.401e-45,1.401e-45,1.401e-45,1.401e-45,1.401e-45,1.401e-45,1.401e-45,1.401e-45,1.401e-45,1.401e-45,1.401e-45,1.401e-45,1.401e-45,1.401e-45,1.421e-08,1.421e-08,1.401e-45,1.401e-45,1.401e-45,0.9791,0.9792,1.401e-45,1.401e-45,1.401e-45,2.001,2
